fullName,description,url,stars,size,language,pushedAt,forks,openIssues
geekidea/spring-boot-plus,:fire: Spring-Boot-Plus is an easy-to-use; high-speed; high-efficient;feature-rich; open source spring boot scaffolding. :rocket:,https://github.com/geekidea/spring-boot-plus,2524,8477,Java,Fri Jul 11 19:27:54 CST 2025,712,4
techa03/goodsKill,🐎基于SpringCloud 2025.x + Dubbo 3.x + AI构建的模拟秒杀微服务项目，集成了Elasticsearch🔍、Gateway、Mybatis-Plus、Sharding-JDBC等常用开源组件,https://github.com/techa03/goodsKill,2401,18408,Java,Sun Jun 21 08:11:51 CST 2026,517,6
metasfresh/metasfresh,We do Open Source ERP - Fast; Flexible & Free Software to scale your Business.,https://github.com/metasfresh/metasfresh,2356,365269,Java,Tue Jun 30 10:54:09 CST 2026,794,2960
LogNet/grpc-spring-boot-starter,Spring Boot starter module for gRPC  framework. ,https://github.com/LogNet/grpc-spring-boot-starter,2264,17137,Java,Thu Nov 13 03:06:50 CST 2025,428,53
lets-mica/mica,Spring Cloud 微服务开发核心工具集。工具类、验证码、http、redis、ip2region、xss 等，开箱即用。 🔝 🔝 记得右上角点个star 关注更新！,https://github.com/lets-mica/mica,2239,66769,Java,Tue Jun 30 00:22:18 CST 2026,375,4
jonashackt/spring-boot-vuejs,Example project showing how to build a Spring Boot App providing a GUI with Vue.js,https://github.com/jonashackt/spring-boot-vuejs,2125,27108,Java,Fri Jun 26 15:40:49 CST 2026,671,35
zalando/logbook,An extensible Java library for HTTP request and response logging,https://github.com/zalando/logbook,2049,7289,Java,Mon Jun 29 22:21:38 CST 2026,280,36
spring-cloud/spring-cloud-config,External configuration (server and client) for Spring Cloud,https://github.com/spring-cloud/spring-cloud-config,2044,41091,Java,Wed Jun 24 18:20:51 CST 2026,1323,208
binarywang/weixin-java-mp-demo,基于Spring Boot 和 WxJava 实现的微信公众号Java后端Demo，支持多公众号,https://github.com/binarywang/weixin-java-mp-demo,2014,3149,Java,Sun Jan 25 06:12:03 CST 2026,980,19
xuxueli/xxl-sso,A distributed single-sign-on framework.（单点登录框架XXL-SSO）,https://github.com/xuxueli/xxl-sso,2011,4638,Java,Sat Jun 27 13:57:42 CST 2026,829,3
nashtech-garage/yas,YAS: Yet Another Shop; a sample microservices project in Java,https://github.com/nashtech-garage/yas,1976,92410,Java,Fri Jun 12 02:44:07 CST 2026,721,137
javahongxi/whatsmars,Java生态研究(Spring Boot + Redis + Dubbo + RocketMQ + Elasticsearch)🔥🔥🔥🔥🔥,https://github.com/javahongxi/whatsmars,1966,15811,Java,Tue Jun 30 00:13:00 CST 2026,602,2
atjiu/pybbs,更实用的Java开发的社区(论坛)，Better use of Java development community (forum),https://github.com/atjiu/pybbs,1961,57342,Java,Mon Oct 27 00:09:46 CST 2025,720,1
YeautyYE/netty-websocket-spring-boot-starter,:rocket: lightweight high-performance WebSocket framework     （ 轻量级、高性能的WebSocket框架）,https://github.com/YeautyYE/netty-websocket-spring-boot-starter,1938,155,Java,Mon Dec 15 17:30:56 CST 2025,563,165
LianjiaTech/retrofit-spring-boot-starter,A spring-boot starter for retrofit; supports rapid integration and feature enhancements.（适用于retrofit的spring-boot-starter，支持快速集成和功能增强）,https://github.com/LianjiaTech/retrofit-spring-boot-starter,1913,2054,Java,Sun Jun 28 03:45:53 CST 2026,340,8
BroadleafCommerce/BroadleafCommerce,Broadleaf Commerce CE - an eCommerce framework based on Java and Spring,https://github.com/BroadleafCommerce/BroadleafCommerce,1906,304314,Java,Fri Jun 26 13:55:48 CST 2026,1311,44
DerekYRC/mini-spring-cloud,mini-spring-cloud is a simplified version of the Spring Cloud framework that helps you quickly familiarize yourself with Spring Cloud source code and master its core principles. While preserving Spring Cloud's core functionality; the code is streamlined as much as possible. ,https://github.com/DerekYRC/mini-spring-cloud,1901,1280,Java,Sat Jun 20 21:17:11 CST 2026,381,2
in28minutes/master-spring-and-spring-boot,Spring and Spring Boot Tutorial For Absolute Beginners - 10-in-1 - Spring to Spring Boot to REST API to Full Stack to Containers to Cloud,https://github.com/in28minutes/master-spring-and-spring-boot,1864,83998,Java,Sun Jun 14 19:16:15 CST 2026,886,18
linyimin0812/spring-startup-analyzer,spring-startup-analyzer generates an interactive spring application startup report that lets you understand what contributes to the application startup time and helps to optimize it.🚀,https://github.com/linyimin0812/spring-startup-analyzer,1833,17069,Java,Wed Jul 09 20:12:54 CST 2025,147,33
ron190/jsql-injection,jSQL Injection is a Java application for automatic SQL database injection.,https://github.com/ron190/jsql-injection,1770,488496,Java,Sun Jun 28 21:03:53 CST 2026,441,52
Netflix/genie,Distributed Big Data Orchestration Service,https://github.com/Netflix/genie,1763,229690,Java,Thu Jun 11 13:24:32 CST 2026,373,18
